Forecast_Date,Actual_BTC_Price,ARIMA_CHAMPION,LSTM_NeuralNet,Prophet_Trend,SARIMA_Seasonal,ENSEMBLE_Average,ARIMA_Error_$,ARIMA_Error_%
2026-01-01,88731.984375,117457.34532972421,126905.01,134802.22125,139871.5359106415,129759.02757571643,28725.36095472421,32.373175419277004
2026-01-02,89944.6953125,117457.34532972421,127039.38,134929.78859375,140175.00097225836,129900.37942705816,27512.65001722421,30.588407600509885
2026-01-03,90603.1875,117457.34532972421,127171.984,135057.3559375,140192.60821932022,129969.82346538611,26854.15782972421,29.63930803176677
2026-01-04,91413.4921875,117457.34532972421,127302.79,135184.92328125,140302.7509212265,130061.95214867518,26043.85314222421,28.49016323411554
2026-01-05,93882.5546875,117457.34532972421,127431.83,135312.490625,140604.17710891337,130201.46029715938,23574.79064222421,25.110938577135965
2026-01-06,93729.03125,117457.34532972421,127559.09,135440.05796875,140579.63601177515,130259.03326506235,23728.31407972421,25.315863999953812
2026-01-07,91308.0546875,117457.34532972421,127684.64,135567.6253125,141188.77577285768,130474.59676002047,26149.29064222421,28.63853658006365
2026-01-08,91027.125,117457.34532972421,127808.46,135695.19265625,141055.01911109558,130504.00450864245,26430.22032972421,29.035543339113705
2026-01-09,90513.1015625,117457.34532972421,127930.555,135822.76,141358.51753082877,130642.29438701324,26944.24376722421,29.76833552501678
2026-01-10,90386.6484375,117457.34532972421,128050.96,135950.32734375,141376.15812885165,130708.69793495646,27070.69689222421,29.949884590469004
2026-01-12,91972.921875,117457.34532972421,128169.69,136077.8946875,141486.33417456516,130797.81542294734,25484.42345472421,27.70861568295066
